0|1|8
0|2|5
0|9|2
0|12|10
0|13|3
0|16|5
0|18|9
1|4|5
1|5|6
1|6|2
1|9|1
1|13|2
1|17|6
1|18|9
2|4|10
2|8|8
2|9|2
2|10|6
2|17|7
2|19|3
3|5|3
3|6|7
3|8|5
3|9|6
3|13|7
3|14|10
3|15|4
3|16|4
3|17|9
3|18|1
4|5|7
4|6|4
4|10|1
4|11|5
4|12|9
4|13|4
4|15|2
4|17|2
4|18|6
4|19|5
5|11|10
5|12|6
5|13|4
5|14|2
5|15|10
5|17|9
6|7|9
6|13|5
6|15|10
6|16|2
6|17|9
7|8|7
7|10|2
7|15|4
7|18|5
8|10|3
8|12|10
8|14|5
8|15|2
8|18|4
8|19|2
9|10|2
9|14|9
9|16|1
10|11|8
10|12|4
10|13|2
10|15|2
10|17|3
10|18|8
10|19|3
11|13|9
11|15|3
12|13|7
12|18|6
13|15|1
13|17|9
14|15|4
14|16|2
14|17|9
14|18|6
15|19|4
16|17|1
16|18|8
17|19|8
18|19|1
